event|alphaid|time|ticker|volume
InCheckAlphaEv|PM_001BUCS|930000000|000001.SZSE|203300
InCheckAlphaEv|PM_001BUCS|930000000|000002.SSE|276600
InCheckAlphaEv|PM_001BUCS|930000000|000002.SZSE|355300
InCheckAlphaEv|PM_001BUCS|930000000|000003.SSE|201300
InCheckAlphaEv|PM_001BUCS|930000000|000003.SZSE|311000
InCheckAlphaEv|PM_001BUCS|930000000|000004.SZSE|346100
InCheckAlphaEv|PM_001BUCS|930000000|000005.SSE|294200
InCheckAlphaEv|PM_001BUCS|930000000|000005.SZSE|121700
InCheckAlphaEv|PM_001BUCS|930000000|000006.SSE|336000
InCheckAlphaEv|PM_001BUCS|930000000|000006.SZSE|280900
InCheckAlphaEv|PM_001BUCS|930000000|000007.SSE|137800
InCheckAlphaEv|PM_001BUCS|930000000|000007.SZSE|131200
InCheckAlphaEv|PM_001BUCS|930000000|000008.SSE|454500
InCheckAlphaEv|PM_001BUCS|930000000|000009.SSE|240300
InCheckAlphaEv|PM_001BUCS|930000000|000010.SSE|121900
InCheckAlphaEv|PM_001BUCS|930000000|000010.SZSE|332800
InCheckAlphaEv|PM_001BUCS|930000000|000011.SSE|448900
InCheckAlphaEv|PM_001BUCS|930000000|000011.SZSE|332300
InCheckAlphaEv|PM_001BUCS|930000000|000012.SSE|480800
InCheckAlphaEv|PM_001BUCS|930000000|000012.SZSE|229600
InCheckAlphaEv|PM_001BUCS|930000000|000013.SSE|370900
InCheckAlphaEv|PM_001BUCS|930000000|000013.SZSE|480400
InCheckAlphaEv|PM_001BUCS|930000000|000014.SSE|413700
InCheckAlphaEv|PM_001BUCS|930000000|000014.SZSE|230000
InCheckAlphaEv|PM_001BUCS|930000000|000015.SSE|466200
InCheckAlphaEv|PM_001BUCS|930000000|000015.SZSE|242000
InCheckAlphaEv|PM_001BUCS|930000000|000016.SSE|287900
InCheckAlphaEv|PM_001BUCS|930000000|000016.SZSE|304500
InCheckAlphaEv|PM_001BUCS|930000000|000017.SSE|420700
InCheckAlphaEv|PM_001BUCS|930000000|000017.SZSE|465900
InCheckAlphaEv|PM_001BUCS|930000000|000018.SSE|138600
InCheckAlphaEv|PM_001BUCS|930000000|000018.SZSE|415800
InCheckAlphaEv|PM_001BUCS|930000000|000019.SSE|409200
InCheckAlphaEv|PM_001BUCS|930000000|000019.SZSE|397900
InCheckAlphaEv|PM_001BUCS|930000000|000020.SSE|160000
InCheckAlphaEv|PM_001BUCS|930000000|000020.SZSE|169300
InCheckAlphaEv|PM_001BUCS|930000000|000021.SSE|254800
InCheckAlphaEv|PM_001BUCS|930000000|000021.SZSE|173700
InCheckAlphaEv|PM_001BUCS|930000000|000022.SSE|332900
InCheckAlphaEv|PM_001BUCS|930000000|000022.SZSE|292400
InCheckAlphaEv|PM_001BUCS|930000000|000023.SSE|383900
InCheckAlphaEv|PM_001BUCS|930000000|000023.SZSE|353100
InCheckAlphaEv|PM_001BUCS|930000000|000024.SSE|150800
InCheckAlphaEv|PM_001BUCS|930000000|000024.SZSE|429400
InCheckAlphaEv|PM_001BUCS|930000000|000025.SSE|367000
InCheckAlphaEv|PM_001BUCS|930000000|000025.SZSE|435000
InCheckAlphaEv|PM_001BUCS|930000000|000026.SSE|388200
InCheckAlphaEv|PM_001BUCS|930000000|000026.SZSE|416300
InCheckAlphaEv|PM_001BUCS|930000000|000027.SSE|452000
InCheckAlphaEv|PM_001BUCS|930000000|000027.SZSE|152300
InCheckAlphaEv|PM_001BUCS|930000000|000028.SSE|166200
InCheckAlphaEv|PM_001BUCS|930000000|000028.SZSE|238000
InCheckAlphaEv|PM_001BUCS|930000000|000029.SSE|306900
InCheckAlphaEv|PM_001BUCS|930000000|000029.SZSE|276500
InCheckAlphaEv|PM_001BUCS|930000000|000030.SSE|212800
InCheckAlphaEv|PM_001BUCS|930000000|000030.SZSE|473100
InCheckAlphaEv|PM_001BUCS|930000000|000031.SSE|307500
InCheckAlphaEv|PM_001BUCS|930000000|000031.SZSE|384000
InCheckAlphaEv|PM_001BUCS|930000000|000032.SSE|335500
InCheckAlphaEv|PM_001BUCS|930000000|000032.SZSE|277400
InCheckAlphaEv|PM_001BUCS|930000000|000033.SSE|181500
InCheckAlphaEv|PM_001BUCS|930000000|000033.SZSE|475400
InCheckAlphaEv|PM_001BUCS|930000000|000034.SSE|323400
InCheckAlphaEv|PM_001BUCS|930000000|000034.SZSE|325300
InCheckAlphaEv|PM_001BUCS|930000000|000035.SSE|416300
InCheckAlphaEv|PM_001BUCS|930000000|000035.SZSE|231700
