event|alphaid|time|ticker|last_price|prev_close_price
MarketDataEv|MARKET|930000000|000001.SSE|151.44|153.14
MarketDataEv|MARKET|930000000|000002.SSE|182.02|182.09
MarketDataEv|MARKET|930000000|000003.SSE|86.34|87.14
MarketDataEv|MARKET|930000000|000004.SSE|76.21|75.88
MarketDataEv|MARKET|930000000|000005.SSE|134.99|134.66
MarketDataEv|MARKET|930000000|000006.SSE|12.44|12.60
MarketDataEv|MARKET|930000000|000007.SSE|15.23|15.28
MarketDataEv|MARKET|930000000|000008.SSE|165.23|167.03
MarketDataEv|MARKET|930000000|000009.SSE|170.13|172.95
MarketDataEv|MARKET|930000000|000010.SSE|124.77|126.24
MarketDataEv|MARKET|930000000|000011.SSE|144.02|146.26
MarketDataEv|MARKET|930000000|000012.SSE|46.29|45.72
MarketDataEv|MARKET|930000000|000013.SSE|89.17|88.95
MarketDataEv|MARKET|930000000|000014.SSE|187.36|190.92
MarketDataEv|MARKET|930000000|000015.SSE|12.06|12.16
MarketDataEv|MARKET|930000000|000016.SSE|68.99|69.34
MarketDataEv|MARKET|930000000|000017.SSE|106.03|107.91
MarketDataEv|MARKET|930000000|000018.SSE|146.16|147.63
MarketDataEv|MARKET|930000000|000019.SSE|47.39|47.61
MarketDataEv|MARKET|930000000|000020.SSE|155.70|155.51
MarketDataEv|MARKET|930000000|000021.SSE|153.47|151.82
MarketDataEv|MARKET|930000000|000022.SSE|18.99|18.87
MarketDataEv|MARKET|930000000|000023.SSE|196.26|195.95
MarketDataEv|MARKET|930000000|000024.SSE|38.31|37.61
MarketDataEv|MARKET|930000000|000025.SSE|94.14|94.66
MarketDataEv|MARKET|930000000|000026.SSE|135.73|135.88
MarketDataEv|MARKET|930000000|000027.SSE|192.74|195.67
MarketDataEv|MARKET|930000000|000028.SSE|115.38|114.73
MarketDataEv|MARKET|930000000|000029.SSE|172.27|171.88
MarketDataEv|MARKET|930000000|000030.SSE|198.44|197.34
MarketDataEv|MARKET|930000000|000031.SSE|172.49|172.71
MarketDataEv|MARKET|930000000|000032.SSE|36.40|36.99
MarketDataEv|MARKET|930000000|000033.SSE|27.13|27.66
MarketDataEv|MARKET|930000000|000034.SSE|172.60|174.60
MarketDataEv|MARKET|930000000|000035.SSE|98.56|99.96
MarketDataEv|MARKET|930000000|000036.SSE|136.78|136.12
MarketDataEv|MARKET|930000000|000037.SSE|103.42|104.59
MarketDataEv|MARKET|930000000|000038.SSE|147.99|150.76
MarketDataEv|MARKET|930000000|000039.SSE|109.44|109.20
MarketDataEv|MARKET|930000000|000040.SSE|42.57|42.00
MarketDataEv|MARKET|930000000|000041.SSE|43.71|44.02
MarketDataEv|MARKET|930000000|000042.SSE|204.86|204.39
MarketDataEv|MARKET|930000000|000043.SSE|57.28|57.23
MarketDataEv|MARKET|930000000|000044.SSE|110.92|109.00
MarketDataEv|MARKET|930000000|000045.SSE|166.47|166.76
MarketDataEv|MARKET|930000000|000046.SSE|132.31|134.11
MarketDataEv|MARKET|930000000|000047.SSE|157.68|159.59
MarketDataEv|MARKET|930000000|000048.SSE|122.70|120.56
MarketDataEv|MARKET|930000000|000049.SSE|188.07|188.34
MarketDataEv|MARKET|930000000|000050.SSE|156.51|153.58
MarketDataEv|MARKET|930000000|000001.SZSE|161.12|159.93
MarketDataEv|MARKET|930000000|000002.SZSE|83.39|84.66
MarketDataEv|MARKET|930000000|000003.SZSE|129.51|128.23
MarketDataEv|MARKET|930000000|000004.SZSE|118.30|118.20
MarketDataEv|MARKET|930000000|000005.SZSE|84.58|86.16
MarketDataEv|MARKET|930000000|000006.SZSE|113.88|114.34
MarketDataEv|MARKET|930000000|000007.SZSE|178.75|179.99
MarketDataEv|MARKET|930000000|000008.SZSE|84.16|82.75
MarketDataEv|MARKET|930000000|000009.SZSE|39.45|38.69
MarketDataEv|MARKET|930000000|000010.SZSE|155.09|157.95
MarketDataEv|MARKET|930000000|000011.SZSE|42.22|41.41
MarketDataEv|MARKET|930000000|000012.SZSE|120.48|118.66
MarketDataEv|MARKET|930000000|000013.SZSE|68.15|68.35
