event|alphaid|time|ticker|realtime_pos|realtime_long_pos|realtime_short_pos|realtime_avail_shot_vol
SplitCtxEv|TRADER_001Atem|930000000|000001.SSE|1268|1268|0|1268
SplitCtxEv|TRADER_001Atem|930000000|000002.SSE|27177|27177|0|27177
SplitCtxEv|TRADER_001Atem|930000000|000003.SSE|31724|31724|0|31724
SplitCtxEv|TRADER_001Atem|930000000|000004.SSE|57726|57726|0|57726
SplitCtxEv|TRADER_001Atem|930000000|000005.SSE|14284|14284|0|14284
SplitCtxEv|TRADER_001Atem|930000000|000006.SSE|34576|34576|0|34576
SplitCtxEv|TRADER_001Atem|930000000|000007.SSE|1711|1711|0|1711
SplitCtxEv|TRADER_001Atem|930000000|000008.SSE|1745|1745|0|1745
SplitCtxEv|TRADER_001Atem|930000000|000009.SSE|616337|616337|0|616337
SplitCtxEv|TRADER_001Atem|930000000|000010.SSE|135151|135151|0|135151
SplitCtxEv|TRADER_001Atem|930000000|000011.SSE|211678|211678|0|211678
SplitCtxEv|TRADER_001Atem|930000000|000012.SSE|36897|36897|0|36897
SplitCtxEv|TRADER_001Atem|930000000|000013.SSE|455599|455599|0|455599
SplitCtxEv|TRADER_001Atem|930000000|000014.SSE|363|363|0|363
SplitCtxEv|TRADER_001Atem|930000000|000015.SSE|11539|11539|0|11539
SplitCtxEv|TRADER_001Atem|930000000|000016.SSE|102075|102075|0|102075
SplitCtxEv|TRADER_001Atem|930000000|000017.SSE|23304|23304|0|23304
SplitCtxEv|TRADER_001Atem|930000000|000018.SSE|38742|38742|0|38742
SplitCtxEv|TRADER_001Atem|930000000|000019.SSE|3841|3841|0|3841
SplitCtxEv|TRADER_001Atem|930000000|000020.SSE|36236|36236|0|36236
SplitCtxEv|TRADER_001Atem|930000000|000021.SSE|3726|3726|0|3726
SplitCtxEv|TRADER_001Atem|930000000|000022.SSE|141683|141683|0|141683
SplitCtxEv|TRADER_001Atem|930000000|000023.SSE|396578|396578|0|396578
SplitCtxEv|TRADER_001Atem|930000000|000024.SSE|129894|129894|0|129894
SplitCtxEv|TRADER_001Atem|930000000|000025.SSE|35|35|0|35
SplitCtxEv|TRADER_001Atem|930000000|000026.SSE|10268|10268|0|10268
SplitCtxEv|TRADER_001Atem|930000000|000027.SSE|64427|64427|0|64427
SplitCtxEv|TRADER_001Atem|930000000|000028.SSE|8528|8528|0|8528
SplitCtxEv|TRADER_001Atem|930000000|000029.SSE|6081|6081|0|6081
SplitCtxEv|TRADER_001Atem|930000000|000030.SSE|146013|146013|0|146013
SplitCtxEv|TRADER_001Atem|930000000|000031.SSE|34502|34502|0|34502
SplitCtxEv|TRADER_001Atem|930000000|000032.SSE|9419|9419|0|9419
SplitCtxEv|TRADER_001Atem|930000000|000033.SSE|36959|36959|0|36959
SplitCtxEv|TRADER_001Atem|930000000|000034.SSE|322695|322695|0|322695
SplitCtxEv|TRADER_001Atem|930000000|000035.SSE|737337|737337|0|737337
SplitCtxEv|TRADER_001Atem|930000000|000036.SSE|27887|27887|0|27887
SplitCtxEv|TRADER_001Atem|930000000|000037.SSE|53029|53029|0|53029
SplitCtxEv|TRADER_001Atem|930000000|000038.SSE|0|0|0|0
SplitCtxEv|TRADER_001Atem|930000000|000039.SSE|32980|32980|0|32980
SplitCtxEv|TRADER_001Atem|930000000|000040.SSE|38188|38188|0|38188
SplitCtxEv|TRADER_001Atem|930000000|000041.SSE|13002|13002|0|13002
SplitCtxEv|TRADER_001Atem|930000000|000042.SSE|9350|9350|0|9350
SplitCtxEv|TRADER_001Atem|930000000|000043.SSE|8874|8874|0|8874
SplitCtxEv|TRADER_001Atem|930000000|000044.SSE|0|0|0|0
SplitCtxEv|TRADER_001Atem|930000000|000045.SSE|70159|70159|0|70159
SplitCtxEv|TRADER_001Atem|930000000|000046.SSE|453028|453028|0|453028
SplitCtxEv|TRADER_001Atem|930000000|000047.SSE|42233|42233|0|42233
SplitCtxEv|TRADER_001Atem|930000000|000048.SSE|500672|500672|0|500672
SplitCtxEv|TRADER_001Atem|930000000|000049.SSE|4380|4380|0|4380
SplitCtxEv|TRADER_001Atem|930000000|000050.SSE|16464|16464|0|16464
SplitCtxEv|TRADER_001Atem|930000000|000001.SZSE|116437|116437|0|116437
SplitCtxEv|TRADER_001Atem|930000000|000002.SZSE|3973|3973|0|3973
SplitCtxEv|TRADER_001Atem|930000000|000003.SZSE|47044|47044|0|47044
SplitCtxEv|TRADER_001Atem|930000000|000004.SZSE|48171|48171|0|48171
SplitCtxEv|TRADER_001Atem|930000000|000005.SZSE|67096|67096|0|67096
SplitCtxEv|TRADER_001Atem|930000000|000006.SZSE|93404|93404|0|93404
SplitCtxEv|TRADER_001Atem|930000000|000007.SZSE|33424|33424|0|33424
SplitCtxEv|TRADER_001Atem|930000000|000008.SZSE|0|0|0|0
SplitCtxEv|TRADER_001Atem|930000000|000009.SZSE|97|97|0|97
SplitCtxEv|TRADER_001Atem|930000000|000010.SZSE|343828|343828|0|343828
SplitCtxEv|TRADER_001Atem|930000000|000011.SZSE|33560|33560|0|33560
SplitCtxEv|TRADER_001Atem|930000000|000012.SZSE|3055|3055|0|3055
SplitCtxEv|TRADER_001Atem|930000000|000013.SZSE|55917|55917|0|55917
SplitCtxEv|TRADER_001Atem|930000000|000014.SZSE|84716|84716|0|84716
SplitCtxEv|TRADER_001Atem|930000000|000015.SZSE|4548|4548|0|4548
SplitCtxEv|TRADER_001Atem|930000000|000016.SZSE|3369|3369|0|3369
SplitCtxEv|TRADER_001Atem|930000000|000017.SZSE|66611|66611|0|66611
SplitCtxEv|TRADER_001Atem|930000000|000018.SZSE|61601|61601|0|61601
SplitCtxEv|TRADER_001Atem|930000000|000019.SZSE|134154|134154|0|134154
SplitCtxEv|TRADER_001Atem|930000000|000020.SZSE|12919|12919|0|12919
SplitCtxEv|TRADER_001Atem|930000000|000021.SZSE|296192|296192|0|296192
SplitCtxEv|TRADER_001Atem|930000000|000022.SZSE|81592|81592|0|81592
SplitCtxEv|TRADER_001Atem|930000000|000023.SZSE|22235|22235|0|22235
SplitCtxEv|TRADER_001Atem|930000000|000024.SZSE|71271|71271|0|71271
SplitCtxEv|TRADER_001Atem|930000000|000025.SZSE|22102|22102|0|22102
SplitCtxEv|TRADER_001Atem|930000000|000026.SZSE|27675|27675|0|27675
SplitCtxEv|TRADER_001Atem|930000000|000027.SZSE|33175|33175|0|33175
SplitCtxEv|TRADER_001Atem|930000000|000028.SZSE|18145|18145|0|18145
SplitCtxEv|TRADER_001Atem|930000000|000029.SZSE|3408|3408|0|3408
SplitCtxEv|TRADER_001Atem|930000000|000030.SZSE|21892|21892|0|21892
SplitCtxEv|TRADER_001Atem|930000000|000031.SZSE|32705|32705|0|32705
SplitCtxEv|TRADER_001Atem|930000000|000032.SZSE|25452|25452|0|25452
SplitCtxEv|TRADER_001Atem|930000000|000033.SZSE|7486|7486|0|7486
SplitCtxEv|TRADER_001Atem|930000000|000034.SZSE|239257|239257|0|239257
SplitCtxEv|TRADER_001Atem|930000000|000035.SZSE|6416|6416|0|6416
SplitCtxEv|TRADER_001Atem|930000000|000036.SZSE|0|0|0|0
SplitCtxEv|TRADER_001Atem|930000000|000037.SZSE|253457|253457|0|253457
SplitCtxEv|TRADER_001Atem|930000000|000038.SZSE|5687|5687|0|5687
SplitCtxEv|TRADER_001Atem|930000000|000039.SZSE|12875|12875|0|12875
SplitCtxEv|TRADER_001Atem|930000000|000040.SZSE|0|0|0|0
SplitCtxEv|TRADER_001Atem|930000000|000041.SZSE|104895|104895|0|104895
SplitCtxEv|TRADER_001Atem|930000000|000042.SZSE|17637|17637|0|17637
SplitCtxEv|TRADER_001Atem|930000000|000043.SZSE|35185|35185|0|35185
SplitCtxEv|TRADER_001Atem|930000000|000044.SZSE|0|0|0|0
SplitCtxEv|TRADER_001Atem|930000000|000045.SZSE|7151|7151|0|7151
SplitCtxEv|TRADER_001Atem|930000000|000046.SZSE|12959|12959|0|12959
SplitCtxEv|TRADER_001Atem|930000000|000047.SZSE|2741457|2741457|0|2741457
SplitCtxEv|TRADER_001Atem|930000000|000048.SZSE|42437|42437|0|42437
SplitCtxEv|TRADER_001Atem|930000000|000049.SZSE|121363|121363|0|121363
SplitCtxEv|TRADER_001Atem|930000000|000050.SZSE|96496|96496|0|96496
SplitCtxEv|TRADER_002Atem|930000000|000001.SSE|1215|1215|0|1215
SplitCtxEv|TRADER_002Atem|930000000|000002.SSE|26324|26324|0|26324
SplitCtxEv|TRADER_002Atem|930000000|000003.SSE|33813|33813|0|33813
SplitCtxEv|TRADER_002Atem|930000000|000004.SSE|58429|58429|0|58429
SplitCtxEv|TRADER_002Atem|930000000|000005.SSE|13410|13410|0|13410
SplitCtxEv|TRADER_002Atem|930000000|000006.SSE|37367|37367|0|37367
SplitCtxEv|TRADER_002Atem|930000000|000007.SSE|1772|1772|0|1772
SplitCtxEv|TRADER_002Atem|930000000|000008.SSE|1756|1756|0|1756
SplitCtxEv|TRADER_002Atem|930000000|000009.SSE|568504|568504|0|568504
SplitCtxEv|TRADER_002Atem|930000000|000010.SSE|141281|141281|0|141281
SplitCtxEv|TRADER_002Atem|930000000|000011.SSE|208816|208816|0|208816
SplitCtxEv|TRADER_002Atem|930000000|000012.SSE|39471|39471|0|39471
SplitCtxEv|TRADER_002Atem|930000000|000013.SSE|424429|424429|0|424429
SplitCtxEv|TRADER_002Atem|930000000|000014.SSE|361|361|0|361
SplitCtxEv|TRADER_002Atem|930000000|000015.SSE|11397|11397|0|11397
SplitCtxEv|TRADER_002Atem|930000000|000016.SSE|98686|98686|0|98686
SplitCtxEv|TRADER_002Atem|930000000|000017.SSE|22080|22080|0|22080
SplitCtxEv|TRADER_002Atem|930000000|000018.SSE|38174|38174|0|38174
SplitCtxEv|TRADER_002Atem|930000000|000019.SSE|4139|4139|0|4139
SplitCtxEv|TRADER_002Atem|930000000|000020.SSE|35223|35223|0|35223
SplitCtxEv|TRADER_002Atem|930000000|000021.SSE|3514|3514|0|3514
SplitCtxEv|TRADER_002Atem|930000000|000022.SSE|139137|139137|0|139137
SplitCtxEv|TRADER_002Atem|930000000|000023.SSE|407114|407114|0|407114
SplitCtxEv|TRADER_002Atem|930000000|000024.SSE|129586|129586|0|129586
SplitCtxEv|TRADER_002Atem|930000000|000025.SSE|33|33|0|33
SplitCtxEv|TRADER_002Atem|930000000|000026.SSE|9788|9788|0|9788
SplitCtxEv|TRADER_002Atem|930000000|000027.SSE|67792|67792|0|67792
SplitCtxEv|TRADER_002Atem|930000000|000028.SSE|8769|8769|0|8769
SplitCtxEv|TRADER_002Atem|930000000|000029.SSE|6316|6316|0|6316
SplitCtxEv|TRADER_002Atem|930000000|000030.SSE|137953|137953|0|137953
SplitCtxEv|TRADER_002Atem|930000000|000031.SSE|36414|36414|0|36414
SplitCtxEv|TRADER_002Atem|930000000|000032.SSE|9052|9052|0|9052
SplitCtxEv|TRADER_002Atem|930000000|000033.SSE|39104|39104|0|39104
SplitCtxEv|TRADER_002Atem|930000000|000034.SSE|322426|322426|0|322426
SplitCtxEv|TRADER_002Atem|930000000|000035.SSE|673174|673174|0|673174
SplitCtxEv|TRADER_002Atem|930000000|000036.SSE|26625|26625|0|26625
SplitCtxEv|TRADER_002Atem|930000000|000037.SSE|54382|54382|0|54382
SplitCtxEv|TRADER_002Atem|930000000|000038.SSE|0|0|0|0
SplitCtxEv|TRADER_002Atem|930000000|000039.SSE|29990|29990|0|29990
SplitCtxEv|TRADER_002Atem|930000000|000040.SSE|36463|36463|0|36463
SplitCtxEv|TRADER_002Atem|930000000|000041.SSE|13540|13540|0|13540
SplitCtxEv|TRADER_002Atem|930000000|000042.SSE|8552|8552|0|8552
SplitCtxEv|TRADER_002Atem|930000000|000043.SSE|8944|8944|0|8944
SplitCtxEv|TRADER_002Atem|930000000|000044.SSE|0|0|0|0
SplitCtxEv|TRADER_002Atem|930000000|000045.SSE|72834|72834|0|72834
SplitCtxEv|TRADER_002Atem|930000000|000046.SSE|456902|456902|0|456902
SplitCtxEv|TRADER_002Atem|930000000|000047.SSE|41635|41635|0|41635
SplitCtxEv|TRADER_002Atem|930000000|000048.SSE|536563|536563|0|536563
SplitCtxEv|TRADER_002Atem|930000000|000049.SSE|4369|4369|0|4369
SplitCtxEv|TRADER_002Atem|930000000|000050.SSE|16687|16687|0|16687
SplitCtxEv|TRADER_002Atem|930000000|000001.SZSE|111615|111615|0|111615
SplitCtxEv|TRADER_002Atem|930000000|000002.SZSE|4065|4065|0|4065
SplitCtxEv|TRADER_002Atem|930000000|000003.SZSE|45407|45407|0|45407
SplitCtxEv|TRADER_002Atem|930000000|000004.SZSE|44751|44751|0|44751
SplitCtxEv|TRADER_002Atem|930000000|000005.SZSE|63208|63208|0|63208
SplitCtxEv|TRADER_002Atem|930000000|000006.SZSE|88509|88509|0|88509
SplitCtxEv|TRADER_002Atem|930000000|000007.SZSE|32684|32684|0|32684
SplitCtxEv|TRADER_002Atem|930000000|000008.SZSE|0|0|0|0
SplitCtxEv|TRADER_002Atem|930000000|000009.SZSE|97|97|0|97
SplitCtxEv|TRADER_002Atem|930000000|000010.SZSE|374124|374124|0|374124
SplitCtxEv|TRADER_002Atem|930000000|000011.SZSE|34175|34175|0|34175
SplitCtxEv|TRADER_002Atem|930000000|000012.SZSE|2885|2885|0|2885
SplitCtxEv|TRADER_002Atem|930000000|000013.SZSE|53826|53826|0|53826
SplitCtxEv|TRADER_002Atem|930000000|000014.SZSE|88162|88162|0|88162
SplitCtxEv|TRADER_002Atem|930000000|000015.SZSE|4614|4614|0|4614
SplitCtxEv|TRADER_002Atem|930000000|000016.SZSE|3274|3274|0|3274
SplitCtxEv|TRADER_002Atem|930000000|000017.SZSE|72080|72080|0|72080
SplitCtxEv|TRADER_002Atem|930000000|000018.SZSE|56869|56869|0|56869
SplitCtxEv|TRADER_002Atem|930000000|000019.SZSE|131209|131209|0|131209
SplitCtxEv|TRADER_002Atem|930000000|000020.SZSE|12206|12206|0|12206
SplitCtxEv|TRADER_002Atem|930000000|000021.SZSE|291882|291882|0|291882
SplitCtxEv|TRADER_002Atem|930000000|000022.SZSE|85521|85521|0|85521
SplitCtxEv|TRADER_002Atem|930000000|000023.SZSE|22497|22497|0|22497
SplitCtxEv|TRADER_002Atem|930000000|000024.SZSE|78700|78700|0|78700
SplitCtxEv|TRADER_002Atem|930000000|000025.SZSE|21971|21971|0|21971
SplitCtxEv|TRADER_002Atem|930000000|000026.SZSE|27677|27677|0|27677
SplitCtxEv|TRADER_002Atem|930000000|000027.SZSE|33255|33255|0|33255
SplitCtxEv|TRADER_002Atem|930000000|000028.SZSE|17267|17267|0|17267
SplitCtxEv|TRADER_002Atem|930000000|000029.SZSE|3327|3327|0|3327
SplitCtxEv|TRADER_002Atem|930000000|000030.SZSE|21383|21383|0|21383
SplitCtxEv|TRADER_002Atem|930000000|000031.SZSE|33988|33988|0|33988
SplitCtxEv|TRADER_002Atem|930000000|000032.SZSE|25937|25937|0|25937
SplitCtxEv|TRADER_002Atem|930000000|000033.SZSE|7563|7563|0|7563
SplitCtxEv|TRADER_002Atem|930000000|000034.SZSE|251168|251168|0|251168
SplitCtxEv|TRADER_002Atem|930000000|000035.SZSE|6629|6629|0|6629
SplitCtxEv|TRADER_002Atem|930000000|000036.SZSE|0|0|0|0
SplitCtxEv|TRADER_002Atem|930000000|000037.SZSE|245338|245338|0|245338
SplitCtxEv|TRADER_002Atem|930000000|000038.SZSE|5546|5546|0|5546
SplitCtxEv|TRADER_002Atem|930000000|000039.SZSE|11973|11973|0|11973
SplitCtxEv|TRADER_002Atem|930000000|000040.SZSE|0|0|0|0
SplitCtxEv|TRADER_002Atem|930000000|000041.SZSE|95716|95716|0|95716
SplitCtxEv|TRADER_002Atem|930000000|000042.SZSE|17098|17098|0|17098
SplitCtxEv|TRADER_002Atem|930000000|000043.SZSE|35979|35979|0|35979
SplitCtxEv|TRADER_002Atem|930000000|000044.SZSE|0|0|0|0
SplitCtxEv|TRADER_002Atem|930000000|000045.SZSE|7814|7814|0|7814
SplitCtxEv|TRADER_002Atem|930000000|000046.SZSE|14062|14062|0|14062
SplitCtxEv|TRADER_002Atem|930000000|000047.SZSE|2687380|2687380|0|2687380
SplitCtxEv|TRADER_002Atem|930000000|000048.SZSE|38666|38666|0|38666
SplitCtxEv|TRADER_002Atem|930000000|000049.SZSE|114386|114386|0|114386
SplitCtxEv|TRADER_002Atem|930000000|000050.SZSE|106256|106256|0|106256
SplitCtxEv|TRADER_003Atem|930000000|000001.SSE|1285|1285|0|1285
SplitCtxEv|TRADER_003Atem|930000000|000002.SSE|27558|27558|0|27558
SplitCtxEv|TRADER_003Atem|930000000|000003.SSE|31934|31934|0|31934
SplitCtxEv|TRADER_003Atem|930000000|000004.SSE|60601|60601|0|60601
SplitCtxEv|TRADER_003Atem|930000000|000005.SSE|13393|13393|0|13393
SplitCtxEv|TRADER_003Atem|930000000|000006.SSE|37314|37314|0|37314
SplitCtxEv|TRADER_003Atem|930000000|000007.SSE|1840|1840|0|1840
SplitCtxEv|TRADER_003Atem|930000000|000008.SSE|1860|1860|0|1860
SplitCtxEv|TRADER_003Atem|930000000|000009.SSE|567108|567108|0|567108
SplitCtxEv|TRADER_003Atem|930000000|000010.SSE|141795|141795|0|141795
SplitCtxEv|TRADER_003Atem|930000000|000011.SSE|204991|204991|0|204991
SplitCtxEv|TRADER_003Atem|930000000|000012.SSE|37900|37900|0|37900
SplitCtxEv|TRADER_003Atem|930000000|000013.SSE|432911|432911|0|432911
SplitCtxEv|TRADER_003Atem|930000000|000014.SSE|380|380|0|380
SplitCtxEv|TRADER_003Atem|930000000|000015.SSE|11789|11789|0|11789
SplitCtxEv|TRADER_003Atem|930000000|000016.SSE|93380|93380|0|93380
SplitCtxEv|TRADER_003Atem|930000000|000017.SSE|22743|22743|0|22743
SplitCtxEv|TRADER_003Atem|930000000|000018.SSE|39571|39571|0|39571
SplitCtxEv|TRADER_003Atem|930000000|000019.SSE|3867|3867|0|3867
SplitCtxEv|TRADER_003Atem|930000000|000020.SSE|35623|35623|0|35623
SplitCtxEv|TRADER_003Atem|930000000|000021.SSE|3552|3552|0|3552
SplitCtxEv|TRADER_003Atem|930000000|000022.SSE|141685|141685|0|141685
SplitCtxEv|TRADER_003Atem|930000000|000023.SSE|387576|387576|0|387576
SplitCtxEv|TRADER_003Atem|930000000|000024.SSE|139644|139644|0|139644
SplitCtxEv|TRADER_003Atem|930000000|000025.SSE|36|36|0|36
SplitCtxEv|TRADER_003Atem|930000000|000026.SSE|10053|10053|0|10053
SplitCtxEv|TRADER_003Atem|930000000|000027.SSE|67008|67008|0|67008
SplitCtxEv|TRADER_003Atem|930000000|000028.SSE|8240|8240|0|8240
SplitCtxEv|TRADER_003Atem|930000000|000029.SSE|6052|6052|0|6052
SplitCtxEv|TRADER_003Atem|930000000|000030.SSE|142278|142278|0|142278
SplitCtxEv|TRADER_003Atem|930000000|000031.SSE|37137|37137|0|37137
SplitCtxEv|TRADER_003Atem|930000000|000032.SSE|9989|9989|0|9989
SplitCtxEv|TRADER_003Atem|930000000|000033.SSE|38254|38254|0|38254
SplitCtxEv|TRADER_003Atem|930000000|000034.SSE|312543|312543|0|312543
SplitCtxEv|TRADER_003Atem|930000000|000035.SSE|690809|690809|0|690809
SplitCtxEv|TRADER_003Atem|930000000|000036.SSE|25618|25618|0|25618
SplitCtxEv|TRADER_003Atem|930000000|000037.SSE|53582|53582|0|53582
SplitCtxEv|TRADER_003Atem|930000000|000038.SSE|0|0|0|0
SplitCtxEv|TRADER_003Atem|930000000|000039.SSE|31375|31375|0|31375
SplitCtxEv|TRADER_003Atem|930000000|000040.SSE|34036|34036|0|34036
SplitCtxEv|TRADER_003Atem|930000000|000041.SSE|13443|13443|0|13443
SplitCtxEv|TRADER_003Atem|930000000|000042.SSE|8700|8700|0|8700
SplitCtxEv|TRADER_003Atem|930000000|000043.SSE|9460|9460|0|9460
SplitCtxEv|TRADER_003Atem|930000000|000044.SSE|0|0|0|0
SplitCtxEv|TRADER_003Atem|930000000|000045.SSE|74882|74882|0|74882
SplitCtxEv|TRADER_003Atem|930000000|000046.SSE|443018|443018|0|443018
SplitCtxEv|TRADER_003Atem|930000000|000047.SSE|41359|41359|0|41359
SplitCtxEv|TRADER_003Atem|930000000|000048.SSE|541481|541481|0|541481
SplitCtxEv|TRADER_003Atem|930000000|000049.SSE|4622|4622|0|4622
SplitCtxEv|TRADER_003Atem|930000000|000050.SSE|16363|16363|0|16363
SplitCtxEv|TRADER_003Atem|930000000|000001.SZSE|109845|109845|0|109845
SplitCtxEv|TRADER_003Atem|930000000|000002.SZSE|3794|3794|0|3794
SplitCtxEv|TRADER_003Atem|930000000|000003.SZSE|48665|48665|0|48665
SplitCtxEv|TRADER_003Atem|930000000|000004.SZSE|48043|48043|0|48043
SplitCtxEv|TRADER_003Atem|930000000|000005.SZSE|66261|66261|0|66261
SplitCtxEv|TRADER_003Atem|930000000|000006.SZSE|95924|95924|0|95924
SplitCtxEv|TRADER_003Atem|930000000|000007.SZSE|33065|33065|0|33065
SplitCtxEv|TRADER_003Atem|930000000|000008.SZSE|0|0|0|0
SplitCtxEv|TRADER_003Atem|930000000|000009.SZSE|91|91|0|91
SplitCtxEv|TRADER_003Atem|930000000|000010.SZSE|378876|378876|0|378876
SplitCtxEv|TRADER_003Atem|930000000|000011.SZSE|34311|34311|0|34311
SplitCtxEv|TRADER_003Atem|930000000|000012.SZSE|3109|3109|0|3109
SplitCtxEv|TRADER_003Atem|930000000|000013.SZSE|53968|53968|0|53968
SplitCtxEv|TRADER_003Atem|930000000|000014.SZSE|85376|85376|0|85376
SplitCtxEv|TRADER_003Atem|930000000|000015.SZSE|4427|4427|0|4427
SplitCtxEv|TRADER_003Atem|930000000|000016.SZSE|3433|3433|0|3433
SplitCtxEv|TRADER_003Atem|930000000|000017.SZSE|70062|70062|0|70062
SplitCtxEv|TRADER_003Atem|930000000|000018.SZSE|55858|55858|0|55858
SplitCtxEv|TRADER_003Atem|930000000|000019.SZSE|137799|137799|0|137799
SplitCtxEv|TRADER_003Atem|930000000|000020.SZSE|12487|12487|0|12487
SplitCtxEv|TRADER_003Atem|930000000|000021.SZSE|305858|305858|0|305858
SplitCtxEv|TRADER_003Atem|930000000|000022.SZSE|84508|84508|0|84508
SplitCtxEv|TRADER_003Atem|930000000|000023.SZSE|22666|22666|0|22666
SplitCtxEv|TRADER_003Atem|930000000|000024.SZSE|79051|79051|0|79051
SplitCtxEv|TRADER_003Atem|930000000|000025.SZSE|23394|23394|0|23394
SplitCtxEv|TRADER_003Atem|930000000|000026.SZSE|27285|27285|0|27285
SplitCtxEv|TRADER_003Atem|930000000|000027.SZSE|35332|35332|0|35332
SplitCtxEv|TRADER_003Atem|930000000|000028.SZSE|17612|17612|0|17612
SplitCtxEv|TRADER_003Atem|930000000|000029.SZSE|3285|3285|0|3285
SplitCtxEv|TRADER_003Atem|930000000|000030.SZSE|23509|23509|0|23509
SplitCtxEv|TRADER_003Atem|930000000|000031.SZSE|32593|32593|0|32593
SplitCtxEv|TRADER_003Atem|930000000|000032.SZSE|28258|28258|0|28258
SplitCtxEv|TRADER_003Atem|930000000|000033.SZSE|7725|7725|0|7725
SplitCtxEv|TRADER_003Atem|930000000|000034.SZSE|258455|258455|0|258455
SplitCtxEv|TRADER_003Atem|930000000|000035.SZSE|6367|6367|0|6367
SplitCtxEv|TRADER_003Atem|930000000|000036.SZSE|0|0|0|0
SplitCtxEv|TRADER_003Atem|930000000|000037.SZSE|254668|254668|0|254668
SplitCtxEv|TRADER_003Atem|930000000|000038.SZSE|5374|5374|0|5374
SplitCtxEv|TRADER_003Atem|930000000|000039.SZSE|12678|12678|0|12678
SplitCtxEv|TRADER_003Atem|930000000|000040.SZSE|0|0|0|0
SplitCtxEv|TRADER_003Atem|930000000|000041.SZSE|94943|94943|0|94943
SplitCtxEv|TRADER_003Atem|930000000|000042.SZSE|16761|16761|0|16761
SplitCtxEv|TRADER_003Atem|930000000|000043.SZSE|33675|33675|0|33675
SplitCtxEv|TRADER_003Atem|930000000|000044.SZSE|0|0|0|0
SplitCtxEv|TRADER_003Atem|930000000|000045.SZSE|7206|7206|0|7206
SplitCtxEv|TRADER_003Atem|930000000|000046.SZSE|12818|12818|0|12818
SplitCtxEv|TRADER_003Atem|930000000|000047.SZSE|2855255|2855255|0|2855255
SplitCtxEv|TRADER_003Atem|930000000|000048.SZSE|37773|37773|0|37773
SplitCtxEv|TRADER_003Atem|930000000|000049.SZSE|118475|118475|0|118475
SplitCtxEv|TRADER_003Atem|930000000|000050.SZSE|98313|98313|0|98313
SplitCtxEv|TRADER_004Atem|930000000|000001.SSE|1183|1183|0|1183
SplitCtxEv|TRADER_004Atem|930000000|000002.SSE|26345|26345|0|26345
SplitCtxEv|TRADER_004Atem|930000000|000003.SSE|32766|32766|0|32766
SplitCtxEv|TRADER_004Atem|930000000|000004.SSE|60980|60980|0|60980
SplitCtxEv|TRADER_004Atem|930000000|000005.SSE|13747|13747|0|13747
SplitCtxEv|TRADER_004Atem|930000000|000006.SSE|35346|35346|0|35346
SplitCtxEv|TRADER_004Atem|930000000|000007.SSE|1696|1696|0|1696
SplitCtxEv|TRADER_004Atem|930000000|000008.SSE|1911|1911|0|1911
SplitCtxEv|TRADER_004Atem|930000000|000009.SSE|556083|556083|0|556083
SplitCtxEv|TRADER_004Atem|930000000|000010.SSE|135115|135115|0|135115
SplitCtxEv|TRADER_004Atem|930000000|000011.SSE|215440|215440|0|215440
SplitCtxEv|TRADER_004Atem|930000000|000012.SSE|35790|35790|0|35790
