event|alphaid|time|ticker|realtime_pos|realtime_long_pos|realtime_short_pos|realtime_avail_shot_vol
VposResEv|PM_001BUCS|930000000|000001.SZSE|657004|657004|0|657004
VposResEv|PM_001BUCS|930000000|000002.SSE|155259|155259|0|155259
VposResEv|PM_001BUCS|930000000|000002.SZSE|23266|23266|0|23266
VposResEv|PM_001BUCS|930000000|000003.SSE|196523|196523|0|196523
VposResEv|PM_001BUCS|930000000|000003.SZSE|276939|276939|0|276939
VposResEv|PM_001BUCS|930000000|000004.SZSE|276809|276809|0|276809
VposResEv|PM_001BUCS|930000000|000005.SSE|83043|83043|0|83043
VposResEv|PM_001BUCS|930000000|000005.SZSE|382940|382940|0|382940
VposResEv|PM_001BUCS|930000000|000006.SSE|212200|212200|0|212200
VposResEv|PM_001BUCS|930000000|000006.SZSE|543212|543212|0|543212
VposResEv|PM_001BUCS|930000000|000007.SSE|10364|10364|0|10364
VposResEv|PM_001BUCS|930000000|000007.SZSE|188870|188870|0|188870
VposResEv|PM_001BUCS|930000000|000008.SSE|10779|10779|0|10779
VposResEv|PM_001BUCS|930000000|000009.SSE|3435131|3435131|0|3435131
VposResEv|PM_001BUCS|930000000|000010.SSE|838205|838205|0|838205
VposResEv|PM_001BUCS|930000000|000010.SZSE|2119403|2119403|0|2119403
VposResEv|PM_001BUCS|930000000|000011.SSE|1197910|1197910|0|1197910
VposResEv|PM_001BUCS|930000000|000011.SZSE|208706|208706|0|208706
VposResEv|PM_001BUCS|930000000|000012.SSE|221269|221269|0|221269
VposResEv|PM_001BUCS|930000000|000012.SZSE|17646|17646|0|17646
VposResEv|PM_001BUCS|930000000|000013.SSE|2588217|2588217|0|2588217
VposResEv|PM_001BUCS|930000000|000013.SZSE|327350|327350|0|327350
VposResEv|PM_001BUCS|930000000|000014.SSE|2236|2236|0|2236
VposResEv|PM_001BUCS|930000000|000014.SZSE|504195|504195|0|504195
VposResEv|PM_001BUCS|930000000|000015.SSE|66983|66983|0|66983
VposResEv|PM_001BUCS|930000000|000015.SZSE|25834|25834|0|25834
VposResEv|PM_001BUCS|930000000|000016.SSE|577751|577751|0|577751
VposResEv|PM_001BUCS|930000000|000016.SZSE|19303|19303|0|19303
VposResEv|PM_001BUCS|930000000|000017.SSE|131833|131833|0|131833
VposResEv|PM_001BUCS|930000000|000017.SZSE|414231|414231|0|414231
VposResEv|PM_001BUCS|930000000|000018.SSE|237912|237912|0|237912
VposResEv|PM_001BUCS|930000000|000018.SZSE|342880|342880|0|342880
VposResEv|PM_001BUCS|930000000|000019.SSE|23883|23883|0|23883
VposResEv|PM_001BUCS|930000000|000019.SZSE|803919|803919|0|803919
VposResEv|PM_001BUCS|930000000|000020.SSE|215227|215227|0|215227
VposResEv|PM_001BUCS|930000000|000020.SZSE|74096|74096|0|74096
